id,product_id,product_distribution_center_id,in_stock,month_year_creation,days_in_stock
117599,29095,7,1,Apr 2024,
117600,29095,7,1,Feb 2025,
117601,29095,7,1,Sep 2024,
208727,29095,7,0,Oct 2025,57.0
208728,29095,7,1,Aug 2020,
217514,29095,7,0,Dec 2024,8.0
217515,29095,7,1,Apr 2021,
217516,29095,7,1,Jan 2024,
217517,29095,7,1,Apr 2022,
306263,29095,7,0,Feb 2025,47.0
306264,29095,7,1,Jul 2021,
370545,29095,7,0,Oct 2019,33.0
370546,29095,7,1,Apr 2025,
403717,29095,7,0,Jun 2023,20.0
403718,29095,7,1,Nov 2021,
403719,29095,7,1,Jan 2022,
403720,29095,7,1,Jul 2024,
433608,29095,7,0,Feb 2023,36.0
433609,29095,7,1,Oct 2024,
433610,29095,7,1,Jul 2025,
460588,29095,7,0,Nov 2021,2.0
460589,29095,7,1,May 2023,
460590,29095,7,1,Feb 2026,
460591,29095,7,1,Jun 2025,
462078,29095,7,0,Oct 2025,1.0
462079,29095,7,1,Apr 2023,
40706,29016,7,0,Jan 2026,17.0
40707,29016,7,1,Jul 2022,
138781,29016,7,0,Oct 2025,56.0
138782,29016,7,1,Mar 2020,
332224,29016,7,0,Apr 2022,12.0
332225,29016,7,1,Jul 2022,
3995,28638,7,0,Aug 2020,4.0
3996,28638,7,1,Feb 2020,
29557,28638,7,0,Dec 2023,37.0
29558,28638,7,1,Apr 2023,
29559,28638,7,1,Oct 2025,
136594,28638,7,0,Feb 2023,5.0
136595,28638,7,1,Apr 2025,
136596,28638,7,1,Jul 2022,
260658,28638,7,0,Mar 2022,36.0
260659,28638,7,1,Oct 2025,
291299,28638,7,0,Jan 2026,18.0
291300,28638,7,1,Feb 2026,
411221,28638,7,0,Jun 2023,46.0
411222,28638,7,1,Jul 2021,
477715,28638,7,0,Jun 2024,42.0
477716,28638,7,1,Aug 2025,
477717,28638,7,1,Jul 2022,
13933,14245,10,0,Nov 2025,7.0
13934,14245,10,1,Jan 2020,
18747,28989,6,0,Sep 2023,52.0
18748,28989,6,1,May 2024,
18749,28989,6,1,Jul 2020,
35431,28989,6,0,Dec 2022,25.0
35432,28989,6,1,Jun 2025,
35433,28989,6,1,Jun 2022,
242042,28989,6,0,Jun 2024,53.0
242043,28989,6,1,Dec 2020,
242044,28989,6,1,Sep 2023,
242045,28989,6,1,Dec 2024,
415855,28989,6,0,Mar 2020,51.0
415856,28989,6,1,Dec 2020,
415857,28989,6,1,Feb 2021,
429497,28989,6,0,Jan 2022,48.0
429498,28989,6,1,Mar 2024,
50369,28400,3,0,Apr 2024,1.0
50370,28400,3,1,Apr 2024,
116348,28400,3,0,Apr 2022,32.0
116349,28400,3,1,Aug 2025,
143428,28400,3,0,Dec 2024,21.0
143429,28400,3,1,Apr 2020,
143430,28400,3,1,Apr 2020,
199726,28400,3,0,Feb 2024,30.0
199727,28400,3,1,Dec 2021,
199728,28400,3,1,Dec 2025,
199729,28400,3,1,Apr 2024,
205774,28400,3,0,May 2025,22.0
205775,28400,3,1,Jun 2022,
205776,28400,3,1,Jul 2025,
336105,28400,3,0,Nov 2022,34.0
336106,28400,3,1,Nov 2021,
336107,28400,3,1,Nov 2022,
336108,28400,3,1,Mar 2024,
428183,28400,3,0,Mar 2024,12.0
428184,28400,3,1,Sep 2022,
29745,28746,3,0,Jan 2023,17.0
29746,28746,3,1,Aug 2022,
29747,28746,3,1,Jan 2023,
29748,28746,3,1,Dec 2024,
169312,28746,3,0,Nov 2022,18.0
169313,28746,3,1,Sep 2020,
219624,28746,3,0,Jun 2024,25.0
219625,28746,3,1,May 2024,
219626,28746,3,1,May 2025,
251245,28746,3,0,Dec 2025,46.0
251246,28746,3,1,Mar 2022,
251247,28746,3,1,Feb 2024,
285576,28746,3,0,Dec 2024,10.0
285577,28746,3,1,Jan 2026,
285578,28746,3,1,Aug 2021,
372930,28746,3,0,Sep 2025,20.0
372931,28746,3,1,Mar 2024,
21423,28809,3,0,Oct 2024,52.0
21424,28809,3,1,Jan 2026,
21425,28809,3,1,Oct 2021,
40163,28809,3,0,Dec 2023,32.0
40164,28809,3,1,Apr 2020,
40165,28809,3,1,Jan 2024,
236934,28809,3,0,Nov 2025,50.0
236935,28809,3,1,May 2022,
251579,28809,3,0,Jan 2026,16.0
251580,28809,3,1,Aug 2024,
272725,28809,3,0,Mar 2022,0.0
272726,28809,3,1,Nov 2021,
272727,28809,3,1,Jan 2026,
272728,28809,3,1,Nov 2022,
285310,28809,3,0,Dec 2019,28.0
285311,28809,3,1,Feb 2025,
288765,28809,3,0,Jun 2023,43.0
288766,28809,3,1,Nov 2021,
319980,28809,3,0,Aug 2022,40.0
319981,28809,3,1,Dec 2021,
333834,28809,3,0,Mar 2022,39.0
333835,28809,3,1,Apr 2021,
333836,28809,3,1,Dec 2020,
333837,28809,3,1,Jan 2025,
336873,28809,3,0,Dec 2025,58.0
336874,28809,3,1,Oct 2024,
336875,28809,3,1,Sep 2024,
336876,28809,3,1,Feb 2020,
452884,28809,3,0,Feb 2025,31.0
452885,28809,3,1,Jan 2026,
452886,28809,3,1,Feb 2020,
485690,28809,3,0,Dec 2023,20.0
485691,28809,3,1,Mar 2023,
485692,28809,3,1,Feb 2024,
27349,28497,3,0,Apr 2023,22.0
27350,28497,3,1,Feb 2023,
53220,13720,3,0,May 2024,28.0
53221,13720,3,1,Jul 2025,
68749,13720,3,0,Sep 2025,37.0
68750,13720,3,1,Dec 2020,
68751,13720,3,1,Aug 2025,
68752,13720,3,1,Oct 2023,
75913,28497,3,0,Aug 2025,15.0
75914,28497,3,1,Sep 2024,
94220,28497,3,0,Dec 2025,8.0
94221,28497,3,1,Aug 2020,
109260,28497,3,0,Feb 2023,57.0
109261,28497,3,1,Dec 2021,
109262,28497,3,1,Mar 2023,
109263,28497,3,1,Jun 2020,
116544,28497,3,0,Sep 2024,23.0
116545,28497,3,1,Oct 2025,
116546,28497,3,1,Apr 2022,
116547,28497,3,1,Aug 2023,
134663,13720,3,0,Nov 2024,10.0
134664,13720,3,1,Jan 2020,
143828,28497,3,0,May 2024,35.0
143829,28497,3,1,Aug 2022,
217249,13720,3,0,Aug 2024,6.0
217250,13720,3,1,Feb 2021,
217251,13720,3,1,Jan 2021,
217252,13720,3,1,Jan 2023,
236695,13720,3,0,Jul 2025,36.0
236696,13720,3,1,Sep 2025,
