id,cost,category,brand,retail_price,department,distribution_center_id,ideal_profit
13052,22.52,Swim,TYR,49.06,Women,1,26.540000000000003
13077,23.74,Swim,TYR,56.0,Women,1,32.260000000000005
13190,27.95,Swim,TYR,68.0,Women,1,40.05
13312,30.31,Swim,TYR,72.0,Women,1,41.69
13350,21.17,Swim,TYR,52.01,Women,1,30.839999999999996
27445,24.72,Swim,TYR,38.99,Men,1,14.270000000000003
27457,15.9,Swim,TYR,27.6,Men,1,11.700000000000001
27466,17.85,Swim,TYR,30.0,Men,1,12.149999999999999
27481,29.41,Swim,TYR,45.95,Men,1,16.540000000000003
27487,15.66,Swim,TYR,26.49,Men,1,10.829999999999998
27510,22.57,Swim,TYR,39.95,Men,1,17.380000000000003
27529,22.82,Swim,TYR,36.0,Men,1,13.18
27537,24.35,Swim,TYR,39.99,Men,1,15.64
27552,19.32,Swim,TYR,33.95,Men,1,14.630000000000003
27599,16.44,Swim,TYR,26.51,Men,1,10.07
27674,27.07,Swim,TYR,44.96,Men,1,17.89
27812,14.89,Swim,TYR,24.99,Men,1,10.099999999999998
27960,15.08,Swim,TYR,25.0,Men,1,9.92
27976,16.94,Swim,TYR,28.95,Men,1,12.009999999999998
28039,21.7,Swim,TYR,38.0,Men,1,16.3
28167,24.84,Swim,TYR,40.0,Men,1,15.16
28204,30.94,Swim,TYR,52.0,Men,1,21.06
1513,5.52,Sweaters,VIP,12.99,Women,1,7.470000000000001
3580,5.65,Dresses,VIP,13.99,Women,1,8.34
4330,21.17,Jeans,YMI,38.0,Women,1,16.83
4474,16.04,Jeans,YMI,27.47,Women,1,11.43
4477,14.93,Jeans,YMI,27.95,Women,1,13.02
4889,15.89,Jeans,YMI,28.99,Women,1,13.099999999999998
4946,13.82,Jeans,YMI,25.0,Women,1,11.18
4983,15.83,Jeans,YMI,28.99,Women,1,13.159999999999998
6332,5.3,Shorts,YMI,11.33,Women,1,6.03
6361,12.52,Shorts,YMI,24.99,Women,1,12.469999999999999
6463,20.1,Shorts,YMI,38.0,Women,1,17.9
6583,11.52,Shorts,YMI,24.99,Women,1,13.469999999999999
6591,20.25,Shorts,YMI,38.0,Women,1,17.75
6793,11.44,Shorts,YMI,23.99,Women,1,12.549999999999999
25089,19.73,Socks,5.11,31.88,Men,1,12.149999999999999
29099,13.81,Accessories,Beza,34.95,Men,1,21.14
3212,25.74,Dresses,Bobi,60.0,Women,1,34.260000000000005
3351,41.48,Dresses,Bobi,85.0,Women,1,43.52
15178,27.24,Maternity,Boob,60.0,Women,1,32.760000000000005
24721,6.7,Socks,ECCO,11.0,Men,1,4.3
24771,6.17,Socks,ECCO,10.0,Men,1,3.83
25335,15.26,Socks,ECCO,27.0,Men,1,11.74
25341,9.19,Socks,ECCO,14.99,Men,1,5.800000000000001
12710,43.9,Swim,ECHO,98.0,Women,1,54.1
12717,46.73,Swim,ECHO,118.0,Women,1,71.27000000000001
12720,26.93,Swim,ECHO,68.0,Women,1,41.07
12721,22.03,Swim,ECHO,48.0,Women,1,25.97
12734,17.9,Swim,ECHO,48.0,Women,1,30.1
12918,20.83,Swim,ECHO,48.0,Women,1,27.17
12974,45.47,Swim,ECHO,98.0,Women,1,52.53
13015,11.18,Swim,ECHO,29.41,Women,1,18.23
13126,24.82,Swim,ECHO,52.92,Women,1,28.1
13152,15.04,Swim,ECHO,39.99,Women,1,24.950000000000003
13184,30.11,Swim,ECHO,78.0,Women,1,47.89
13226,54.28,Swim,ECHO,118.0,Women,1,63.72
13284,5.59,Swim,ECHO,13.27,Women,1,7.68
13353,38.32,Swim,ECHO,98.0,Women,1,59.68
13475,38.37,Swim,ECHO,88.0,Women,1,49.63
13489,18.86,Swim,ECHO,48.0,Women,1,29.14
13499,9.53,Swim,ECHO,25.0,Women,1,15.47
13568,27.09,Swim,ECHO,58.5,Women,1,31.41
13952,8.94,Accessories,ECHO,19.99,Women,1,11.049999999999999
14032,17.1,Accessories,ECHO,45.0,Women,1,27.9
14109,11.79,Accessories,ECHO,29.99,Women,1,18.2
14139,11.03,Accessories,ECHO,28.0,Women,1,16.97
14232,12.21,Accessories,ECHO,28.0,Women,1,15.79
14234,16.64,Accessories,ECHO,38.0,Women,1,21.36
15981,20.43,Plus,ECHO,45.0,Women,1,24.57
28627,15.47,Accessories,ECHO,34.99,Men,1,19.520000000000003
23312,27.33,Shorts,ERGO,51.95,Men,1,24.620000000000005
27003,9.3,Sleep & Lounge,Easy,24.99,Men,1,15.689999999999998
17483,45.48,Fashion Hoodies & Sweatshirts,Howe,89.0,Men,1,43.52
20265,58.0,Suits & Sport Coats,Howe,133.33,Men,1,75.33000000000001
20495,71.64,Suits & Sport Coats,Howe,199.0,Men,1,127.36
22561,49.01,Pants,Howe,99.0,Men,1,49.99
22622,28.61,Pants,Howe,58.03,Men,1,29.42
22462,24.3,Pants,JSLV,54.0,Men,1,29.7
15917,1.64,Plus,Keds,3.5,Women,1,1.86
12216,9.01,Intimates,Kiss,17.99,Women,1,8.979999999999999
12217,11.37,Intimates,Kiss,19.99,Women,1,8.62
9674,21.1,Sleep & Lounge,Lanz,34.99,Women,1,13.89
3860,9.28,Dresses,MW22,19.99,Women,1,10.709999999999999
5602,15.78,Pants & Capris,Mina,29.95,Women,1,14.17
7337,13.3,Skirts,Mina,29.95,Women,1,16.65
17691,21.11,Fashion Hoodies & Sweatshirts,NOTW,39.99,Men,1,18.880000000000003
17981,38.3,Fashion Hoodies & Sweatshirts,Obey,76.0,Men,1,37.7
18011,31.65,Fashion Hoodies & Sweatshirts,Obey,54.95,Men,1,23.300000000000004
27630,73.58,Swim,Onia,130.0,Men,1,56.42
27946,93.67,Swim,Onia,145.0,Men,1,51.33
2935,5.3,Active,Pony,11.99,Women,1,6.69
17702,21.0,Fashion Hoodies & Sweatshirts,Ride,37.36,Men,1,16.36
27912,31.81,Swim,2EROS,56.0,Men,1,24.19
9326,5.31,Socks & Hosiery,ACORN,14.4,Women,1,9.09
132,15.48,Tops & Tees,ASICS,30.0,Women,1,14.52
191,13.62,Tops & Tees,ASICS,24.99,Women,1,11.37
271,10.48,Tops & Tees,ASICS,18.95,Women,1,8.469999999999999
306,23.73,Tops & Tees,ASICS,45.99,Women,1,22.26
567,22.07,Tops & Tees,ASICS,39.99,Women,1,17.92
634,23.12,Tops & Tees,ASICS,44.99,Women,1,21.87
2480,15.01,Active,ASICS,36.0,Women,1,20.990000000000002
2493,5.71,Active,ASICS,13.65,Women,1,7.94
2548,10.81,Active,ASICS,28.0,Women,1,17.189999999999998
2578,9.9,Active,ASICS,24.99,Women,1,15.089999999999998
2595,8.25,Active,ASICS,22.0,Women,1,13.75
2677,7.99,Active,ASICS,16.99,Women,1,8.999999999999998
2691,6.18,Active,ASICS,13.65,Women,1,7.470000000000001
2739,6.58,Active,ASICS,16.99,Women,1,10.409999999999998
2747,21.2,Active,ASICS,45.99,Women,1,24.790000000000003
2796,373.84,Active,ASICS,903.0,Women,1,529.1600000000001
2875,12.92,Active,ASICS,32.39,Women,1,19.47
2923,11.48,Active,ASICS,25.0,Women,1,13.52
2986,11.25,Active,ASICS,25.0,Women,1,13.75
2991,5.72,Active,ASICS,14.45,Women,1,8.73
2992,8.32,Active,ASICS,22.0,Women,1,13.68
3028,11.58,Active,ASICS,29.99,Women,1,18.409999999999997
8754,38.08,Outerwear & Coats,ASICS,84.99,Women,1,46.91
11058,15.02,Intimates,ASICS,25.99,Women,1,10.969999999999999
12856,13.02,Swim,ASICS,33.99,Women,1,20.970000000000002
13710,8.25,Accessories,ASICS,22.0,Women,1,13.75
14345,12.54,Maternity,ASICS,26.96,Women,1,14.420000000000002
15448,11.86,Plus,ASICS,22.0,Women,1,10.14
16875,25.58,Tops & Tees,ASICS,42.0,Men,1,16.42
18132,9.73,Active,ASICS,25.0,Men,1,15.27
18154,22.93,Active,ASICS,49.95,Men,1,27.020000000000003
18163,11.46,Active,ASICS,30.0,Men,1,18.54
18290,16.44,Active,ASICS,39.99,Men,1,23.55
18418,13.68,Active,ASICS,34.19,Men,1,20.509999999999998
18451,19.68,Active,ASICS,45.99,Men,1,26.310000000000002
18464,8.56,Active,ASICS,21.34,Men,1,12.78
18767,9.21,Active,ASICS,21.99,Men,1,12.779999999999998
18768,11.18,Active,ASICS,25.0,Men,1,13.82
18773,18.86,Active,ASICS,42.0,Men,1,23.14
18794,10.68,Active,ASICS,25.0,Men,1,14.32
25824,12.4,Underwear,ASICS,25.0,Men,1,12.6
28486,8.91,Accessories,ASICS,22.0,Men,1,13.09
21084,108.44,Jeans,Agave,205.0,Men,1,96.56
21266,95.27,Jeans,Agave,185.0,Men,1,89.73
21412,110.7,Jeans,Agave,205.0,Men,1,94.3
5058,36.23,Jeans,Ariat,69.95,Women,1,33.720000000000006
9107,4.36,Socks & Hosiery,Ariat,9.95,Women,1,5.589999999999999
20746,47.64,Jeans,Ariat,83.58,Men,1,35.94
20765,41.36,Jeans,Ariat,85.63,Men,1,44.269999999999996
20842,44.1,Jeans,Ariat,82.9,Men,1,38.800000000000004
20898,44.6,Jeans,Ariat,82.9,Men,1,38.300000000000004
21208,43.36,Jeans,Ariat,82.9,Men,1,39.540000000000006
21218,38.12,Jeans,Ariat,69.95,Men,1,31.830000000000005
21499,39.05,Jeans,Ariat,69.99,Men,1,30.939999999999998
21559,44.15,Jeans,Ariat,79.99,Men,1,35.839999999999996
22285,54.89,Pants,Ariat,112.25,Men,1,57.36
18447,6.73,Active,C-IN2,17.0,Men,1,10.27
18559,7.98,Active,C-IN2,20.0,Men,1,12.02
18757,23.16,Active,C-IN2,60.0,Men,1,36.84
25576,9.12,Underwear,C-IN2,20.0,Men,1,10.88
25717,11.9,Underwear,C-IN2,24.0,Men,1,12.1
25720,13.47,Underwear,C-IN2,26.0,Men,1,12.53
25746,9.78,Underwear,C-IN2,20.0,Men,1,10.22
25771,25.55,Underwear,C-IN2,50.0,Men,1,24.45
25820,14.31,Underwear,C-IN2,28.0,Men,1,13.69
25829,14.34,Underwear,C-IN2,32.0,Men,1,17.66
25834,12.84,Underwear,C-IN2,30.0,Men,1,17.16
25848,12.79,Underwear,C-IN2,26.0,Men,1,13.21
25856,13.59,Underwear,C-IN2,30.0,Men,1,16.41
25890,6.26,Underwear,C-IN2,14.67,Men,1,8.41
25909,11.11,Underwear,C-IN2,24.0,Men,1,12.89
25911,24.6,Underwear,C-IN2,50.0,Men,1,25.4
25949,12.04,Underwear,C-IN2,26.0,Men,1,13.96
25991,12.5,Underwear,C-IN2,24.46,Men,1,11.96
26013,11.05,Underwear,C-IN2,26.0,Men,1,14.95
26051,12.69,Underwear,C-IN2,26.0,Men,1,13.31
26094,13.89,Underwear,C-IN2,32.0,Men,1,18.11
26115,8.3,Underwear,C-IN2,16.0,Men,1,7.699999999999999
26150,8.98,Underwear,C-IN2,20.0,Men,1,11.02
26155,7.53,Underwear,C-IN2,15.0,Men,1,7.47
26161,11.1,Underwear,C-IN2,25.0,Men,1,13.9
26164,7.47,Underwear,C-IN2,16.0,Men,1,8.530000000000001
26226,12.79,Underwear,C-IN2,28.54,Men,1,15.75
26249,18.39,Underwear,C-IN2,38.0,Men,1,19.61
26264,11.04,Underwear,C-IN2,24.0,Men,1,12.96
26265,17.64,Underwear,C-IN2,36.0,Men,1,18.36
26269,7.69,Underwear,C-IN2,18.0,Men,1,10.309999999999999
26270,17.89,Underwear,C-IN2,36.0,Men,1,18.11
26295,13.08,Underwear,C-IN2,30.0,Men,1,16.92
26301,11.85,Underwear,C-IN2,23.0,Men,1,11.15
26305,14.25,Underwear,C-IN2,30.0,Men,1,15.75
26388,14.06,Underwear,C-IN2,28.0,Men,1,13.94
26392,9.74,Underwear,C-IN2,21.0,Men,1,11.26
26393,15.5,Underwear,C-IN2,35.0,Men,1,19.5
26421,18.03,Underwear,C-IN2,35.0,Men,1,16.97
26439,8.42,Underwear,C-IN2,20.0,Men,1,11.58
17339,29.05,Fashion Hoodies & Sweatshirts,C1RCA,54.0,Men,1,24.95
17694,26.57,Fashion Hoodies & Sweatshirts,C1RCA,49.95,Men,1,23.380000000000003
18006,44.08,Fashion Hoodies & Sweatshirts,C1RCA,79.0,Men,1,34.92
20175,34.3,Suits & Sport Coats,Cardi,79.95,Men,1,45.650000000000006
16811,18.25,Tops & Tees,Chaps,32.88,Men,1,14.630000000000003
19353,19.1,Sweaters,Chaps,39.88,Men,1,20.78
19364,19.86,Sweaters,Chaps,39.88,Men,1,20.020000000000003
19369,13.49,Sweaters,Chaps,24.99,Men,1,11.499999999999998
19434,21.1,Sweaters,Chaps,39.88,Men,1,18.78
19509,18.27,Sweaters,Chaps,39.88,Men,1,21.610000000000003
19586,21.26,Sweaters,Chaps,39.88,Men,1,18.62
19742,19.66,Sweaters,Chaps,39.88,Men,1,20.220000000000002
27291,26.46,Sleep & Lounge,Chaps,60.0,Men,1,33.54
27293,24.6,Sleep & Lounge,Chaps,60.0,Men,1,35.4
5825,30.77,Leggings,Chyor,49.0,Women,1,18.23
9015,21.85,Socks & Hosiery,Chyor,49.0,Women,1,27.15
9435,19.31,Socks & Hosiery,Chyor,49.0,Women,1,29.69
22341,25.44,Pants,Drake,59.99,Men,1,34.55
21574,180.52,Jeans,Evisu,349.17,Men,1,168.65
7033,14.32,Shorts,Grass,29.41,Women,1,15.09
7053,8.06,Shorts,Grass,16.22,Women,1,8.159999999999998
10531,10.07,Intimates,Jobar,18.27,Women,1,8.2
25862,12.1,Underwear,Joe's,25.0,Men,1,12.9
4169,59.68,Jumpsuits & Rompers,KC&PP,115.0,Women,1,55.32
3965,22.3,Dresses,Krazy,49.99,Women,1,27.69
4014,16.6,Dresses,Krazy,39.99,Women,1,23.39
4081,21.2,Jumpsuits & Rompers,Krazy,41.99,Women,1,20.790000000000003
4175,23.41,Jumpsuits & Rompers,Krazy,45.99,Women,1,22.580000000000002
5223,62.63,Pants & Capris,Krazy,125.0,Women,1,62.37
5620,79.46,Pants & Capris,Krazy,145.0,Women,1,65.54
7949,14.12,Blazers & Jackets,Krazy,39.99,Women,1,25.870000000000005
16917,28.89,Tops & Tees,Matix,54.0,Men,1,25.11
17141,34.32,Fashion Hoodies & Sweatshirts,Matix,60.0,Men,1,25.68
17247,27.55,Fashion Hoodies & Sweatshirts,Matix,48.0,Men,1,20.45
17298,45.47,Fashion Hoodies & Sweatshirts,Matix,78.0,Men,1,32.53
17452,43.06,Fashion Hoodies & Sweatshirts,Matix,78.0,Men,1,34.94
17536,22.99,Fashion Hoodies & Sweatshirts,Matix,45.0,Men,1,22.01
17537,37.01,Fashion Hoodies & Sweatshirts,Matix,72.0,Men,1,34.99
19129,26.57,Sweaters,Matix,52.0,Men,1,25.43
19426,24.96,Sweaters,Matix,52.0,Men,1,27.04
19699,25.95,Sweaters,Matix,52.0,Men,1,26.05
20870,39.1,Jeans,Matix,72.0,Men,1,32.9
20963,35.38,Jeans,Matix,72.95,Men,1,37.57
21443,33.66,Jeans,Matix,68.0,Men,1,34.34
21470,35.62,Jeans,Matix,66.95,Men,1,31.330000000000005
21929,19.41,Pants,Matix,46.0,Men,1,26.59
22266,28.38,Pants,Matix,60.0,Men,1,31.62
22355,30.03,Pants,Matix,62.95,Men,1,32.92
22567,28.77,Pants,Matix,58.0,Men,1,29.23
22629,30.75,Pants,Matix,65.0,Men,1,34.25
23088,15.28,Shorts,Matix,33.0,Men,1,17.72
23274,24.98,Shorts,Matix,49.95,Men,1,24.970000000000002
23354,19.01,Shorts,Matix,37.95,Men,1,18.94
23371,16.82,Shorts,Matix,32.99,Men,1,16.17
23512,20.11,Shorts,Matix,41.99,Men,1,21.880000000000003
23530,18.5,Shorts,Matix,33.75,Men,1,15.25
23534,23.03,Shorts,Matix,49.95,Men,1,26.92
23556,20.55,Shorts,Matix,44.0,Men,1,23.45
23559,28.43,Shorts,Matix,52.95,Men,1,24.520000000000003
23562,22.13,Shorts,Matix,42.0,Men,1,19.87
23570,24.07,Shorts,Matix,47.95,Men,1,23.880000000000003
28165,23.12,Swim,Matix,40.49,Men,1,17.37
5909,13.56,Leggings,MeMoi,24.17,Women,1,10.610000000000001
13701,9.85,Accessories,Mundi,21.99,Women,1,12.139999999999999
13922,8.98,Accessories,Mundi,19.99,Women,1,11.009999999999998
14087,9.81,Accessories,Mundi,23.75,Women,1,13.94
14168,9.04,Accessories,Mundi,22.99,Women,1,13.95
15273,11.19,Plus,Mundi,21.99,Women,1,10.799999999999999
15429,10.4,Plus,Mundi,21.99,Women,1,11.589999999999998
15797,9.1,Plus,Mundi,19.99,Women,1,10.889999999999999
10493,15.49,Intimates,NuBra,32.0,Women,1,16.509999999999998
12561,7.6,Intimates,NuBra,13.99,Women,1,6.390000000000001
12601,21.43,Intimates,NuBra,39.99,Women,1,18.560000000000002
12605,21.12,Intimates,NuBra,40.0,Women,1,18.88
12647,21.75,Intimates,NuBra,39.99,Women,1,18.240000000000002
12648,21.35,Intimates,NuBra,39.99,Women,1,18.64
12686,20.87,Intimates,NuBra,39.99,Women,1,19.12
12693,20.75,Intimates,NuBra,39.99,Women,1,19.240000000000002
12694,21.47,Intimates,NuBra,39.99,Women,1,18.520000000000003
12695,21.65,Intimates,NuBra,39.94,Women,1,18.29
12698,21.57,Intimates,NuBra,39.94,Women,1,18.369999999999997
98,21.71,Tops & Tees,Patty,39.99,Women,1,18.28
115,24.65,Tops & Tees,Patty,44.99,Women,1,20.340000000000003
125,17.7,Tops & Tees,Patty,33.98,Women,1,16.279999999999998
128,18.38,Tops & Tees,Patty,33.98,Women,1,15.599999999999998
162,20.08,Tops & Tees,Patty,34.99,Women,1,14.910000000000004
163,18.63,Tops & Tees,Patty,32.98,Women,1,14.349999999999998
167,16.61,Tops & Tees,Patty,28.98,Women,1,12.370000000000001
172,17.56,Tops & Tees,Patty,28.98,Women,1,11.420000000000002
178,22.6,Tops & Tees,Patty,37.98,Women,1,15.379999999999995
180,18.93,Tops & Tees,Patty,31.98,Women,1,13.05
186,15.84,Tops & Tees,Patty,27.98,Women,1,12.14
209,17.65,Tops & Tees,Patty,32.99,Women,1,15.340000000000003
211,17.27,Tops & Tees,Patty,31.98,Women,1,14.71
214,17.3,Tops & Tees,Patty,31.98,Women,1,14.68
222,14.98,Tops & Tees,Patty,28.98,Women,1,14.0
228,18.9,Tops & Tees,Patty,32.98,Women,1,14.079999999999998
235,23.35,Tops & Tees,Patty,39.99,Women,1,16.64
237,19.68,Tops & Tees,Patty,33.99,Women,1,14.310000000000002
262,15.7,Tops & Tees,Patty,27.99,Women,1,12.29
285,20.08,Tops & Tees,Patty,34.98,Women,1,14.899999999999999
286,17.46,Tops & Tees,Patty,31.98,Women,1,14.52
311,15.5,Tops & Tees,Patty,29.98,Women,1,14.48
315,17.81,Tops & Tees,Patty,33.98,Women,1,16.169999999999998
319,14.15,Tops & Tees,Patty,27.59,Women,1,13.44
324,19.95,Tops & Tees,Patty,32.98,Women,1,13.029999999999998
344,15.3,Tops & Tees,Patty,28.98,Women,1,13.68
349,16.98,Tops & Tees,Patty,31.98,Women,1,15.0
353,17.66,Tops & Tees,Patty,31.99,Women,1,14.329999999999998
357,16.81,Tops & Tees,Patty,28.98,Women,1,12.170000000000002
361,16.03,Tops & Tees,Patty,28.98,Women,1,12.95
379,16.81,Tops & Tees,Patty,28.98,Women,1,12.170000000000002
382,17.56,Tops & Tees,Patty,31.98,Women,1,14.420000000000002
388,18.96,Tops & Tees,Patty,31.98,Women,1,13.02
391,17.25,Tops & Tees,Patty,32.99,Women,1,15.740000000000002
407,18.33,Tops & Tees,Patty,34.98,Women,1,16.65
438,15.74,Tops & Tees,Patty,28.98,Women,1,13.24
440,19.1,Tops & Tees,Patty,33.99,Women,1,14.89
455,15.55,Tops & Tees,Patty,28.74,Women,1,13.189999999999998
461,18.61,Tops & Tees,Patty,31.98,Women,1,13.370000000000001
466,18.63,Tops & Tees,Patty,31.0,Women,1,12.370000000000001
474,25.36,Tops & Tees,Patty,42.98,Women,1,17.619999999999997
518,20.05,Tops & Tees,Patty,34.99,Women,1,14.940000000000001
639,18.22,Tops & Tees,Patty,30.99,Women,1,12.77
651,19.1,Tops & Tees,Patty,32.98,Women,1,13.879999999999995
654,16.37,Tops & Tees,Patty,29.98,Women,1,13.61
705,15.35,Tops & Tees,Patty,26.98,Women,1,11.63
782,19.03,Tops & Tees,Patty,31.99,Women,1,12.959999999999997
820,15.73,Sweaters,Patty,33.98,Women,1,18.249999999999996
826,20.98,Sweaters,Patty,43.98,Women,1,22.999999999999996
830,18.04,Sweaters,Patty,44.99,Women,1,26.950000000000003
834,20.65,Sweaters,Patty,44.99,Women,1,24.340000000000003
842,11.3,Sweaters,Patty,24.99,Women,1,13.689999999999998
847,29.78,Sweaters,Patty,67.98,Women,1,38.2
849,19.58,Sweaters,Patty,43.99,Women,1,24.410000000000004
850,29.43,Sweaters,Patty,63.98,Women,1,34.55
857,27.69,Sweaters,Patty,56.98,Women,1,29.289999999999996
871,20.85,Sweaters,Patty,43.99,Women,1,23.14
875,21.5,Sweaters,Patty,42.99,Women,1,21.490000000000002
879,17.11,Sweaters,Patty,34.98,Women,1,17.869999999999997
880,17.13,Sweaters,Patty,41.98,Women,1,24.849999999999998
